nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
0.034182042205243235,,-1,0.031891315019653164,,0.4717109346529469,,-1,,,
0.07076325251842519,,-1,0.07007548659039077,0.0008696111617609859,0.6674855947494507,,-1,,,
0.012595395635849252,,-1,0.012570655855583942,,0.031570807099342346,,-1,,,
0.11045791940911125,,1,0.10799847406728347,0.22605185047501664,,,-1,,,
0.022025224182518954,,1,0.022025224182518954,,,,1,,,
0.012697816779374094,,1,0.012697816779374094,,,,1,,,
0.03931919541519058,,-1,0.036234964125576245,0.04171442613005638,0.6270375062304083,,1,,,
0.024564361742657415,,1,0.02468074953304618,0.002334293778403662,,,1,,,
0.0926088837213938,,-1,0.09324597339319514,0.015305475681088865,0.004484534845687449,,-1,,,
0.021724240766747133,,1,0.021724240766747133,,,,1,,,
0.07459687809848958,,-1,0.06251857788943871,,1.917745489999652,,1,,,
0.03981659727117363,,-1,0.039791286520063154,,0.049510614946484566,,-1,,,
0.01660487529909223,,1,0.016637182021813645,0.004231400496792048,,,1,,,
0.20022080405014955,,-1,0.1878447747770424,2.7976318675403795,1.8632739782333374,,1,,,
0.06789666785631591,,-1,0.06581141500763178,0.0012186489766463637,0.4823281534627313,,-1,,,
0.020172784047487607,,1,0.020198870162704965,0.00016473367577418685,,,1,,,
0.21987167867276072,,-1,0.21428523313037284,,2.359480321407318,,-1,,,
0.02902870422364619,,1,0.02902870422364619,,,,-1,,,
0.030603527963520467,,-1,0.02621327063110491,3.3347854614257812,0.03884235873119905,,-1,,,
0.023480660471097536,,-1,0.02187672136747934,0.31437985825080733,0.0927398855532374,,-1,,,
0.009173863149961528,,1,0.008823573508556242,0.14333479580818675,,,-1,,,
0.011865567467163274,,1,0.011317588877961424,0.22174136713147163,,,-1,,,
0.17464570401310672,,-1,0.1735905289784212,,0.44371533785791445,,1,,,
0.08097112998180418,,-1,0.07712943100898713,0.0026171898934990168,0.6970192896798835,,-1,,,
0.006983798537954537,,1,0.006983798537954537,,,,1,,,
0.13689952516901135,,1,0.1370493228898112,0.07952699810266495,,,-1,,,
0.034779642654527265,,-1,0.03088012073853551,0.003416679712245241,3.1081032752990723,,1,,,
0.04167779318861461,,1,0.04167779318861461,,,,1,,,
0.016543615304652686,,-1,0.007277180733099027,0.010230664891423658,2.3775154416119526,,1,,,
0.050485022462432326,,-1,0.049585999663659217,0.42800114036072046,0.038522537674263425,,-1,,,
0.012544049663137713,,-1,0.01218845136483336,0.00040201989068009423,0.3442201018333435,,-1,,,
