nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
0.7546887322821982,,-1,0.7801907279718179,0.2590271230293848,3.285182317097982,,1,,,
0.1884842030941982,,-1,0.18855604692294897,,0.18242537353621124,,-1,,,
0.4497058611807341,,-1,0.44627379685463975,,3.082099199295044,,1,,,
0.4813930100665722,,1,0.48139301006657204,,,,-1,,,
0.5965390362895532,,-1,0.5776607627966465,,1.236684128367208,,-1,,,
0.679351915616213,,-1,0.6761732793167631,0.30910619220958324,1.6048923194408418,,-1,,,
0.4185949562065245,,-1,0.41674264927887306,,0.5460673511366952,,-1,,,
0.6951913229326561,,-1,0.7000674490590362,0.23774348518539531,0.21460690815001726,,-1,,,
0.1774133154375158,,1,0.18054123905072514,0.054107274053631284,,,-1,,,
0.14885051611799324,,-1,0.1355935349844921,2.7029844244728642,0.34219260515646965,,-1,,,
0.9497278059924792,,1,0.9497278059924791,,,,1,,,
0.37011032985507936,,-1,0.36334857647090063,0.7068519445290024,0.9210491809993983,,-1,,,
0.42151084083781604,,-1,0.4121809579646042,0.12099275383593522,8.742283821105957,,1,,,
0.3947026236970765,,-1,0.41168528567412765,0.009953742092549053,0.45457659363746644,,-1,,,
0.6205485180500415,,-1,0.6117110304736121,0.38688180095147495,2.6436368107795714,,1,,,
0.5755824433617983,,1,0.5697494273247339,0.9430624536968631,,,-1,,,
0.27034078026589126,,-1,0.2685716792741412,0.5739280396728645,0.10538648405417916,,-1,,,
0.19481665690333808,,1,0.19424805548399943,0.22783927779569416,,,-1,,,
0.3768880321216755,,-1,0.37142937267800685,,2.467554599046707,,1,,,
0.27514514245113125,,-1,0.278684358747019,0.0019208318704344988,0.3874445855472004,,-1,,,
0.5129960860627597,,-1,0.5412058308880332,0.019158585852733268,0.2801410894220074,,-1,,,
0.3088022112035406,,-1,0.3121308167771525,0.11970269863013527,0.06489915400743484,,1,,,
1.3880493093444466,,-1,1.4411898753139805,0.22188135756544933,3.126459257211536,,-1,,,
0.2081829721514771,,-1,0.21023319756261977,0.021311593972495758,0.5248761177062988,,-1,,,
0.5146374642010046,,1,0.5288648603674322,0.13862770837399044,,,1,,,
0.6262328560613866,,-1,0.6351575040849702,0.13238063182416226,3.3337883949279785,,-1,,,
0.22485445827964848,,1,0.22613337929587626,0.02969111120328307,,,1,,,
0.8851841920209674,,1,0.8928026677426097,0.2426927394958006,,,-1,,,
0.32117971551556906,,-1,0.32538858668992465,0.04918884700533741,0.9971825840572516,,-1,,,
0.1955433512750134,,-1,0.19660753637493183,0.06293009827722447,0.5411229697987437,,-1,,,
0.1917753558091554,,1,0.17730071995627467,0.6404890672484574,,,1,,,
0.5742288696216479,,-1,0.5814955338035478,0.49363488913298137,0.2249887909597924,,-1,,,
0.35702113707599786,,-1,0.3589933111354001,0.05418540590535485,1.8861694534619649,,-1,,,
0.15735803222069433,,1,0.14973867566254798,0.32706188283395243,,,1,,,
0.4046095974868928,,-1,0.39368961872305563,0.15260256081819534,1.40589015920543,,-1,,,
