nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
6.436084490110564,,-1,6.870770236392353,0.49771757065676725,6.057465394337972,5.259190475121916,-1,4.8890837662094775,13.273643970489502,12.904937782287597
9.860571115951947,,-1,9.962711088545866,,1.246766760531399,1.7193664973795724,1,1.7193664973795724,,
8.925477995411105,,-1,8.933197488559038,,3.004626750946045,2.476628227799665,-1,2.3880593341691467,8.669646739959717,7.933832883834839
9.147316301294873,,1,9.147316301294873,,,2.2234339305432513,1,2.2234339305432513,,
8.721887541672913,,-1,8.899797390177646,,2.6891263151033358,2.6664632736938074,-1,2.57820779362845,,13.874909241994223
7.914428778859777,,-1,7.969900022915354,4.066198555131753,4.133958697319031,3.6470077512494754,1,3.6470077512494754,,
10.014403651992325,,-1,10.126347695170967,,2.310618135062131,1.532959757450347,1,1.532959757450347,,
7.043661770583033,,-1,7.113215708328215,0.0906341727823019,1.4722482208162546,4.46384638705058,-1,4.365735315568102,,9.389022175470988
8.120880002735552,,1,8.322955687760372,0.15484378780973584,,3.303552488660595,-1,3.048077148728989,14.096651196479797,12.032782872517904
10.476301838600193,,-1,10.66346403940582,0.1566305235028267,1.3117915668214362,1.417604256712366,-1,1.2479924428864015,12.134298324584961,14.511944346957737
6.889637437001511,,1,6.889637437001511,,,4.600597751166788,-1,4.584076990640047,,8.81339168548584
8.452898137378119,,-1,8.555848677011907,1.2902592697313853,2.914470959454775,3.058669559735184,1,2.974364752609899,13.765380064646402,
8.815881999915291,,-1,8.860230186876022,0.10878021083772182,9.806622505187988,2.715695751248859,-1,2.691385711180946,15.171713829040527,8.881168365478516
7.706780768870279,,-1,8.082977930721762,0.3388255533734054,1.4104995608329773,3.8569781956418105,-1,3.6639449703265945,13.538769642512003,13.581151962280273
8.143648871698437,,-1,8.332677140201936,0.5251341385145982,2.720564103126526,3.2341102122251564,1,3.0622002238074675,13.218113385714018,
8.424755053849367,,1,8.542802035397106,0.9877952163418134,,3.09543596006309,-1,3.043192077525623,,13.074017524719238
9.90557520367535,,-1,10.2588451088725,0.8774574394696034,0.924267140799202,1.900500921648927,-1,1.7702529403367588,,16.060317175728933
9.98851073285914,,1,10.156496606357642,0.23240807967690322,,1.7819180936203338,1,1.5848855518750729,14.194968223571777,
9.10105194056814,,-1,9.114045543070912,,4.124502182006836,2.4335663671954535,1,2.4335663671954535,,
9.321819849334133,,-1,9.49116746127477,0.14306002448905597,0.41457273935278255,2.338209884299431,-1,2.0940847518083734,12.902796892019419,13.837795734405518
7.017255282406647,,-1,7.417873768620193,0.2630471820011735,0.25722911953926086,4.380734830279835,-1,3.9532902926452214,12.177570660909018,11.483760833740234
9.00474688331451,,-1,9.147678054768024,0.4955014446750283,3.202657699584961,2.52686621863783,1,2.2861148029605443,13.842182755470276,
6.154634094426001,,-1,6.456226898829999,0.7711016885363139,3.9803792536258698,5.474569969475851,-1,5.3280310310334205,11.894375065962473,13.764475107192993
9.792807385378788,,-1,9.93264429445921,0.15565958768129348,0.30774518847465515,1.7500134003930725,1,1.6171736496065725,11.819266510009765,
7.991537712511975,,1,8.237456803625399,1.4922474473714828,,3.396201296323852,-1,3.2937447006692384,11.05085974931717,8.836993058522543
7.768876799585996,,-1,7.959201706523563,0.17672258811561684,9.656776428222656,3.6808164525039806,-1,3.460711670992212,12.649120860629612,7.109818458557129
9.54058895362929,,1,9.60207788822965,0.15737753361463547,,1.9997705761925317,-1,1.9283938970939203,12.065037409464518,14.132073402404785
6.826763991564803,,1,6.893797137969626,1.1736353114247322,,4.630005897886197,-1,4.441142640907892,14.255390167236328,10.588085087862881
9.45008881581695,,-1,9.713620041559473,0.3333697568037008,1.6578780549267929,2.198945339458684,-1,1.9674004874974291,12.47895962851388,10.654528180758158
9.98925514518487,,-1,10.291358165432928,0.4560772294276639,1.2624018121510745,1.6709227966493927,-1,1.4704359555505662,11.883761709386652,11.327263623476028
9.12752225563357,,1,9.400731021938945,0.6580505001669129,,2.652118840604089,-1,2.3456658970860422,13.067770208631243,10.095338648015803
7.894539959709921,,-1,8.2048952013758,1.7267922686619892,1.1555567106956408,3.6722824693618654,-1,3.285249487500724,11.83413869401683,11.669989347457886
9.451269490423632,,-1,9.71356275382658,0.15149069288745523,6.313634395599365,2.270140510634519,-1,1.9316658890199405,13.499062697092691,13.840673923492432
9.971246683967669,,1,10.385155167577624,0.752375912655032,,1.8343587588363637,1,1.5520516736644292,12.963201221666838,
9.357581179079716,,-1,9.446464580414748,1.5815566678841908,4.4833836373355656,2.2460045672875517,-1,2.1059698770338753,12.276755332946777,13.444512844085693
8.628224797134559,,-1,8.696865549249852,0.05677338192860285,1.9979102686047554,2.7488462156422124,-1,2.5259764366890325,13.751510938008627,7.813952849461482
